# docs/pointer-groundtruth.tsv — THE LABELLED GROUND TRUTH for the bare-pointer class.
#
# WHAT THIS IS. Every `<token> in <target>` construction in paper-III.md and paper-IV.md at
# revision 07cd47e whose TARGET is BARE under wt160's named-target tests N1-N6 — 341 rows, of
# 444 constructions in all (282 here from Paper III, 59 from Paper IV). Those are REVIEW-028
# section 3's and section 6.4's numbers, reproduced row for row by scripts/wt166_pointer_groundtruth.py,
# which imports wt160's own _flatten, _target_window and _is_named rather than re-implementing them.
#
# WHY IT EXISTS. REVIEW-028 established that the count wt160 and wt163 return is a property of
# the VERB LIST. Its section 8 falsifier 5 named the one attack that could still rescue the
# enumeration — carve out a defensible sub-class of bare targets STRUCTURALLY, with no verb list —
# and observed that nobody had run it because nobody had the labels. Without labels there is no
# truth set, so no proposed detector can be scored at all. These are the labels.
#
# HOW IT WAS BUILT. All 341 rows were READ, in context, by wealthTensor-89. No verb list was
# consulted while labelling: a ground truth built with a word list cannot score a word list.
# The adjudication rule is REVIEW-028 section 3's, fixed before this reading and unchanged:
#
#   POINTER iff (a) the construction asserts that some content is LOCATED IN a document,
#   artefact, run or record — the reader is being asked to go there to check — AND (b) the
#   target as written carries no handle a reader could follow.
#
# Clause (b) holds for all 341 by construction, since N1-N6 are silent on every row. So the
# labelling decides clause (a) alone, 341 times.
#
# COLUMNS.  file · line · token · target · label · confidence · reason
#   (file, line, token, target) is the KEY. It is unique across all 341 rows and every component
#   is recomputed from 07cd47e, so the labels cannot drift from the corpus: wt166 REFUSES (exit 2)
#   if the recomputed key set differs from this file's by a single row.
#   `line` is the source line of the FLATTENED text's match, as wt160 reports it.
#   `confidence` is FIRM or SOFT. SOFT marks a row this session judges could defensibly go the
#   other way, and it is not decoration: wt166 scores every candidate test THREE times — against
#   the labels as written (PRIMARY, 15 pointers), against FIRM pointers only (STRICT, 11), and
#   against PRIMARY plus every SOFT NOT-POINTER (LOOSE, 51) — so no verdict in REVIEW-029 rests
#   on a judgement call. There are 36 SOFT NOT-POINTER rows.
#
# THE ONE ROW REVIEW-028 MISSED. `III 1261 are in the run logs` is a bare pointer under this rule
# and it is NOT among REVIEW-028 section 4's fourteen. Its verb is the COPULA. REVIEW-028's own
# vocabulary-free reading filtered the corpus's 264 tokens at step 2 by keeping "every token that
# could locate content in an artefact" — and `are` does not look like a locating verb even though
# it does the locating work. That is REVIEW-028 section 8 falsifier 1, fired, and it means the
# vocabulary-free reading had a covert vocabulary after all. See REVIEW-029 section 5.
#
# THE LABELS ARE AT 07cd47e AND DO NOT MOVE WHEN THE MANUSCRIPTS ARE REPAIRED. wt164 repaired
# four of these rows at HEAD and wt167 repairs a fifth; wt166 always reads 07cd47e, so a repair
# cannot silently invalidate the ground truth. That is deliberate.
file	line	token	target	label	confidence	reason
III	11	code	the repository named in the data-availability statement	NOT-POINTER	SOFT	the target names its own locating site ('named in the data-availability statement'); the pointer work in this sentence is row 001's
III	11	named	the data-availability statement	POINTER	FIRM	asserts the repository is named somewhere and the naming site is a bare noun phrase; REVIEW-028 row 1
III	31	survives	**11.5%** of 4	NOT-POINTER	FIRM	quantitative: 'in 11.5% of 4,000 ladders' is a proportion, not a location
III	35	events	two pre-declared sectors	NOT-POINTER	FIRM	'events in two pre-declared sectors' is a sampling population, not a document
III	83	survives	**11.5%** of ladders even when no durability ordering is imposed at all	NOT-POINTER	FIRM	quantitative: a survival proportion over ladders
III	87	declared	advance	NOT-POINTER	FIRM	temporal: 'declared in advance' fixes a time, not a place
III	101	analogues	pharmacokinetics and compartmental identifiability	NOT-POINTER	FIRM	'analogues in pharmacokinetics' names a field of study, not an artefact
III	117	declared	advance	NOT-POINTER	FIRM	temporal: 'declared in advance'
III	125	is	the body and in the abstract	NOT-POINTER	SOFT	self-locating within this document: 'the body' is this paper's own division, reachable without being sent
III	125	and	the abstract	NOT-POINTER	SOFT	self-locating: 'the abstract' is this paper's own division
III	126	not	*Abandoned Approaches*	NOT-POINTER	FIRM	'*Abandoned Approaches*' is an italicised section title of this paper — a handle N1-N6 do not model
III	147	accumulates	the gap and is recognised only at rate α per period	NOT-POINTER	FIRM	'accumulates in the gap' is the model's own state variable, not a document
III	158	and	accounting ASC 250	NOT-POINTER	FIRM	'in accounting ASC 250' names a standard and a discipline, not a location in this corpus
III	159	change	estimate driven by later information is not	NOT-POINTER	FIRM	'a change in estimate' is a term of art from ASC 250
III	165	used	the banking-crisis literature is not intended anywhere here	NOT-POINTER	SOFT	'used in the banking-crisis literature' attributes a usage to a body of literature; no single artefact is offered to open
III	168	examined	isolation the recognition mechanism is disabled (θ = ∞	NOT-POINTER	FIRM	manner: 'examined in isolation' describes how the filter is analysed
III	206	sigmoidal	(1 − φ	NOT-POINTER	FIRM	mathematical: 'sigmoidal in (1 - phi)' is functional dependence
III	208	linear	unobservability while the *delay* in delivering it is not	NOT-POINTER	FIRM	mathematical: 'linear in unobservability'
III	216	events	400 periods	NOT-POINTER	FIRM	temporal/quantitative: 'events in 400 periods' counts over a horizon
III	224	live	different worlds	NOT-POINTER	FIRM	figurative: 'live in different worlds' — REVIEW-028 6.4's own example
III	234	only	the regime where the model has nothing to say	NOT-POINTER	FIRM	'right only in the regime' delimits a parameter region
III	253	it	2007	NOT-POINTER	FIRM	temporal: 'stated it in 2007'; the citation itself is elsewhere
III	254	prices	the short term	NOT-POINTER	FIRM	temporal, inside a quotation: 'stabilizes asset prices in the short term'
III	292	line	vectors	NOT-POINTER	FIRM	notational: 'one line in vectors' describes a representation
III	297	diagonal	class space	NOT-POINTER	FIRM	mathematical: 'diagonal in class space'
III	301	false	detail	NOT-POINTER	FIRM	manner: 'false in detail'
III	309	examined	isolation	NOT-POINTER	FIRM	manner: 'examined in isolation'
III	316	solves	closed form	NOT-POINTER	FIRM	manner: 'solves in closed form'
