# wt133 · dismissed cross-reference flags — every row is a §N.M that does NOT resolve to a
# heading of the manuscript naming it, and is dismissed because it names ANOTHER document's
# section. One row per (paper stem, reference). A row here is a CLAIM: that the site names its
# source in the surrounding text. Delete a row and wt133 goes red again, which is how you audit
# this file rather than trust it.
#
# paper<TAB>ref<TAB>class<TAB>why
paper-I	10	A	Mas-Colell, Whinston and Green (1995, §10.C) — attributed in the same clause
paper-I	17	A	MWG again, "*ibid.*, §17.F" — attributed by ibid. to the entry two lines up
paper-II	4.1	A	Benhabib, Bisin and Zhu's own §4.1; the reference entry says so and adds that the numbering may differ in the article of record
paper-III	3.3	A	REG-003's own §3.3, "Two biases, their direction registered before the number" — REVIEW-013 §3's single apparent miss, independently reproduced by wt133
paper-III	2.2	A	RESULT-REG-008's own §2.2 — named in the same parenthesis at the site (§9 limitation 9), added wealthTensor-80 with III-9's repair
paper-IV	5.4	A	Paper III §5.4 — written out with the paper named at all three sites (L177, L233, L598)
paper-IV	A.1.2	A	Paper III §A.1.2 — "Paper III states the framework's propositions with their domains (§A.1.2)"
paper-IV	A.2.2	A	Paper III §A.2.2 — "Paper III §A.2.2 makes that claim and bounds it in the same breath"
paper-IV	3.1	A	Paper III §3.1 -- the deferred-information table; named at the site (L179) after wt134, and Paper IV's own §3 has no subsections
paper-IV	5.3	A	Paper III §5.3 -- named with the paper in the same clause ("is Paper III §5.3's command"), added wealthTensor-81 with IV-1's repair; Paper IV's own §5 has no subsections
paper-II-v1	4.1	A	Benhabib, Bisin and Zhu's own §4.1 — the same site the paper-II row records, carried into the v1 draft (wealthTensor-108)
paper-III-v1	4.2	A	PRE-001's own §4.2, the replication universe declared before the pilot was run; named in the same clause at the site (§9.2) (wealthTensor-108)
